"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"Tune in for Love",2019,122,"Drama,Romance",7.1,1851,"2015","Romance","Extremely Long"
"Metallica & San Francisco Symphony - S&M2",2019,150,"Music",8.8,1131,"2015","Music","Extremely Long"
"La llorona",2019,97,"Drama,Horror,Thriller",6.5,1574,"2015","Drama","Short"
"Text",2019,132,"Drama,Thriller",6.7,2087,"2015","Drama","Extremely Long"
"Grande, grosso e... Verdone",2008,135,"Comedy",5.5,1332,"2005","Comedy","Extremely Long"
"The Magic Hour",2008,136,"Comedy",7.2,1108,"2005","Comedy","Extremely Long"
"Musallat",2007,95,"Crime,Fantasy,Horror",6.1,3910,"2005","Crime","Short"
"One Million Yen and the Nigamushi Woman",2008,121,"Drama",7.1,1003,"2005","Drama","Extremely Long"
"2 Alone in Paris",2008,94,"Comedy",5.4,2201,"2005","Comedy","Short"
"Johnny the Traitor",2007,135,"Crime,Drama,Mystery",7.8,11355,"2005","Crime","Extremely Long"
"Planet Terror",2007,105,"Action,Adventure,Comedy",7.1,198291,"2005","Adventure","Just Nice"
"Ajami",2009,124,"Crime,Drama",7.3,5926,"2005","Drama","Extremely Long"
"Dark Shadows",2012,113,"Comedy,Fantasy,Horror",6.2,244216,"2010","Comedy","Long"
"Boy A",2007,102,"Drama",7.6,36446,"2005","Drama","Just Nice"
"My Sister's Keeper",2009,109,"Drama,Family",7.4,88512,"2005","Drama","Long"
"Walking Vengeance",2008,129,"Crime,Drama,Thriller",5.8,1561,"2005","Thriller","Extremely Long"
"Deep in the Valley",2009,96,"Comedy",4.4,3299,"2005","Comedy","Short"
"Night at the Museum: Battle of the Smithsonian",2009,105,"Adventure,Comedy,Family",6,174358,"2005","Comedy","Just Nice"
"Shark Swarm",2008,167,"Action,Adventure,Comedy",3.4,1409,"2005","Adventure","Extremely Long"
"Couples Retreat",2009,113,"Comedy",5.5,100324,"2005","Comedy","Long"
"The Girl from the Naked Eye",2012,84,"Action,Crime,Mystery",4.8,1970,"2010","Crime","Very Short"
"Jack and the Beanstalk",2009,94,"Adventure,Comedy,Family",4.7,1679,"2005","Adventure","Short"
"Ice Age: Dawn of the Dinosaurs",2009,94,"Adventure,Animation,Comedy",6.9,220163,"2005","Animation","Short"
"Jak zostalem gangsterem. Historia prawdziwa",2019,140,"Crime,Drama",7.1,1304,"2015","Crime","Extremely Long"
"Detention",2019,102,"Horror,Mystery,Thriller",6.9,2019,"2015","Mystery","Just Nice"
"The Karamazov Brothers",2008,110,"Drama",7.6,1134,"2005","Drama","Long"
"Our Beloved Month of August",2008,147,"Music,Romance",7,1534,"2005","Romance","Extremely Long"
"Baarìa",2009,163,"Comedy,Drama",6.9,6874,"2005","Comedy","Extremely Long"
"Italians",2009,116,"Comedy",5.6,1106,"2005","Comedy","Long"
"Queen to Play",2009,97,"Drama",6.9,2582,"2005","Drama","Short"
"Perfect Hideout",2008,94,"Action,Comedy,Crime",3.9,1143,"2005","Comedy","Short"
"Deadly Impact",2010,96,"Action,Crime,Thriller",5.2,2440,"2010","Thriller","Short"
"Stag Night",2008,84,"Horror,Thriller",4.8,3068,"2005","Thriller","Very Short"
"Fighting",2009,105,"Action,Crime,Drama",5.6,31790,"2005","Action","Just Nice"
"The Belko Experiment",2016,89,"Horror,Thriller",6.1,43179,"2015","Horror","Very Short"
"Management",2008,94,"Comedy,Drama,Romance",5.8,16959,"2005","Drama","Short"
"Quarantine",2008,89,"Horror,Thriller",5.9,69648,"2005","Horror","Very Short"
"The Wackness",2008,99,"Comedy,Drama,Romance",7,29734,"2005","Comedy","Just Nice"
"A Princess for Christmas",2011,91,"Comedy,Drama,Family",6.5,6658,"2010","Family","Short"
"Eddie the Eagle",2015,106,"Biography,Comedy,Drama",7.4,83523,"2015","Biography","Long"
"Fired Up!",2009,90,"Comedy,Sport",6.1,41775,"2005","Comedy","Very Short"
"Mardi Gras: Spring Break",2011,88,"Comedy",5.2,5624,"2010","Comedy","Very Short"
"Gumnaami",2019,142,"Action,Drama,History",7.7,1342,"2015","History","Extremely Long"
"Ballet Shoes",2007,85,"Drama,Family",6.6,8295,"2005","Family","Very Short"
"Black Belt",2007,95,"Action,Drama,Sport",7,1417,"2005","Drama","Short"
"The Beach House",2019,88,"Drama,Horror,Mystery",5.3,3354,"2015","Drama","Very Short"
"Miracle in Cell No. 7",2019,120,"Drama",7.5,1631,"2015","Drama","Extremely Long"
"Hello, Privilege. It's Me, Chelsea",2019,64,"Documentary",4.3,1708,"2015","Documentary","Very Short"
"Rachel Getting Married",2008,113,"Drama,Romance",6.7,46946,"2005","Romance","Long"
"Falling Up",2009,98,"Comedy,Drama,Romance",5.6,2406,"2005","Romance","Just Nice"
"Wanted",2009,147,"Action,Thriller",6.6,18473,"2005","Action","Extremely Long"
"The Prince",2014,93,"Action,Thriller",4.6,17407,"2010","Action","Short"
